variable,Dimensionality,Description,SUEWS-related variables,Dimensionality Remarks
alpha_bioco2,"(3,)",The mean apparent ecosystem quantum. Represents the initial slope of the light-response curve.,`alpha`,"3: { `EveTr`, `DecTr`, `Grass`}"
alpha_enh_bioco2,"(3,)",Part of the `alpha` coefficient related to the fraction of vegetation.,`alpha_enh`,"3: { `EveTr`, `DecTr`, `Grass`}"
alt,0,Altitude of grids [m].,`Alt`,Scalar
baset,"(3,)",Base Temperature for initiating growing degree days (GDD) for leaf growth. [°C],`BaseT`,"3: { `EveTr`, `DecTr`, `Grass`}"
baset_cooling,"(2,)",Critical cooling temperature.,"`TCritic_Cooling_WD`, `TCritic_Cooling_WE`","2: {Weekday, Weekend}"
baset_hc,0,Base temperature for heating degree days [°C],`BaseT_HC`,Scalar
baset_heating,"(2,)",Critical heating temperature.,"`TCritic_Heating_WD`, `TCritic_Heating_WE`","2: {Weekday, Weekend}"
basete,"(3,)",Base temperature for initiating sensesance degree days (SDD) for leaf off. [°C],`BaseTe`,"3: { `EveTr`, `DecTr`, `Grass`}"
basetmethod,0,Determines method for base temperature used in HDD/CDD calculations.,`BaseTMethod`,Scalar
beta_bioco2,"(3,)",The light-saturated gross photosynthesis of the canopy. [umol |m^-2| |s^-1| ],`beta`,"3: { `EveTr`, `DecTr`, `Grass`}"
beta_enh_bioco2,"(3,)",Part of the `beta` coefficient related to the fraction of vegetation.,`beta_enh`,"3: { `EveTr`, `DecTr`, `Grass`}"
bldgh,0,Mean building height [m],`H_Bldgs`,Scalar
capmax_dec,0,Maximum water storage capacity for upper surfaces (i.e. canopy),`StorageMax`,Scalar
capmin_dec,0,Minimum water storage capacity for upper surfaces (i.e. canopy).,`StorageMin`,Scalar
chanohm,"(7,)",Bulk transfer coefficient for this surface to use in AnOHM [-],`AnOHM_Ch`,"7: { `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil`, `Water`}"
co2pointsource,0,CO2 emission factor [kg |km^-1|],`CO2PointSource`,Scalar
cpanohm,"(7,)",Volumetric heat capacity for this surface to use in AnOHM [J |m^-3|],`AnOHM_Cp`,"7: { `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil`, `Water`}"
crwmax,0,Maximum water holding capacity of snow [mm],`CRWMax`,Scalar
crwmin,0,Minimum water holding capacity of snow [mm],`CRWMin`,Scalar
daywat,"(7,)",Irrigation flag: 1 for on and 0 for off.,"`DayWat(1)`, `DayWat(2)`, `DayWat(3)`, `DayWat(4)`, `DayWat(5)`, `DayWat(6)`, `DayWat(7)`","7: {Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday}"
daywatper,"(7,)",Fraction of properties using irrigation for each day of a week.,"`DayWatPer(1)`, `DayWatPer(2)`, `DayWatPer(3)`, `DayWatPer(4)`, `DayWatPer(5)`, `DayWatPer(6)`, `DayWatPer(7)`","7: {Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday}"
decidcap_id,0,Storage capacity of deciduous surface `DecTr` on day 0 of run.,`decidCap0`,Scalar
dectreeh,0,Mean height of deciduous trees [m],`H_DecTr`,Scalar
diagmethod,0,Defines how near surface diagnostics are calculated.,`DiagMethod`,Scalar
diagnose,0,Internal use. Please DO NOT modify,None,Scalar
diagqn,0,Internal use. Please DO NOT modify,None,Scalar
diagqs,0,Internal use. Please DO NOT modify,None,Scalar
drainrt,0,Drainage rate of bucket for LUMPS [mm |h^-1|],`LUMPS_DrRate`,Scalar
ef_umolco2perj,0,Emission factor for fuels used for building heating.,`EF_umolCO2perJ`,Scalar
emis,"(7,)",Effective surface emissivity.,`Emissivity`,"7: { `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil`, `Water`}"
emissionsmethod,0,Determines method for QF calculation.,`EmissionsMethod`,Scalar
enddls,0,End of the day light savings [DOY],`EndDLS`,Scalar
enef_v_jkm,0,Emission factor for heat [J k |m^-1| ].,`EnEF_v_Jkm`,Scalar
evapmethod,0,Internal use. Please DO NOT modify,None,Scalar
evetreeh,0,Mean height of evergreen trees [m],`H_EveTr`,Scalar
faibldg,0,Frontal area index for buildings [-],`FAI_Bldgs`,Scalar
faidectree,0,Frontal area index for deciduous trees [-],`FAI_DecTr`,Scalar
faievetree,0,Frontal area index for evergreen trees [-],`FAI_EveTr`,Scalar
faut,0,Fraction of irrigated area that is irrigated using automated systems,`Faut`,Scalar
fcef_v_kgkm,"(2,)",CO2 emission factor for weekdays [kg |km^-1|];;CO2 emission factor for weekends [kg |km^-1|],"`FcEF_v_kgkmWD`, `FcEF_v_kgkmWE`","2: {Weekday, Weekend}"
flowchange,0,Difference in input and output flows for water surface [mm |h^-1|],`FlowChange`,Scalar
frfossilfuel_heat,0,Fraction of fossil fuels used for building heating [-],`FrFossilFuel_Heat`,Scalar
frfossilfuel_nonheat,0,Fraction of fossil fuels used for building energy use [-],`FrFossilFuel_NonHeat`,Scalar
g1,0,Related to maximum surface conductance [mm |s^-1|],`G1`,Scalar
g2,0,Related to Kdown dependence [W |m^-2|],`G2`,Scalar
g3,0,Related to VPD dependence [units depend on `gsModel`],`G3`,Scalar
g4,0,Related to VPD dependence [units depend on `gsModel`],`G4`,Scalar
g5,0,Related to temperature dependence [°C],`G5`,Scalar
g6,0,Related to soil moisture dependence [|mm^-1|],`G6`,Scalar
